Study_number,Teaching_method,Students_in_row,classes,Test,Hake_gain,Keep_this_row,country
2,IE,684,14,CSEM,0.37,TRUE,Turkey
3,IE,37,1,CSEM,0.63,TRUE,Turkey
3,TRAD,34,1,CSEM,0.36,TRUE,Turkey
5,IE,69,2,CSEM,0.41,TRUE,USA
7,MIXED,434,,BEMA,0.25,TRUE,USA
8,TRAD,1931,12,CSEM,0.23,TRUE,USA
9,TRAD,328,10,CSEM,0.15,TRUE,USA
9,IE,728,18,CSEM,0.2,TRUE,USA
10,IE,68,2,CSEM,0.424,TRUE,USA
11,IE,172,4,CSEM,0.39,TRUE,USA
12,TRAD,290,1,CSEM,0.36,TRUE,USA
12,IE,1859,17,CSEM,0.38,TRUE,USA
13,IE,623,6,BEMA,0.43,TRUE,USA
13,TRAD,1345,10,BEMA,0.28,TRUE,USA
14,IE,1704,8,BEMA,0.4,TRUE,USA
15,TRAD,95,1,CSEM,0.16,TRUE,USA
15,IE,355,4,CSEM,0.27,TRUE,USA
19,TRAD,106,2,CSEM,0.1,TRUE,USA
20,IE,90,2,CSEM,0.32,TRUE,Turkey
21,IE,66.66666667,2,CSEM,0.31,TRUE,USA
21,TRAD,33.33333333,1,CSEM,0.15,TRUE,USA
22,TRAD,1400,14,CSEM,0.39,TRUE,USA
23,IE,2500,105,BEMA,0.4,TRUE,USA
24,IE,330,2,BEMA,0.49,TRUE,USA
25,IE,422,2,BEMA,0.42,TRUE,USA
26,IE,478,4,CSEM,0.37,TRUE,USA
26,TRAD,367,3,CSEM,0.28,TRUE,USA
27,IE,166,2,CSEM,0.31,TRUE,France
27,TRAD,86,1,CSEM,0.2,TRUE,France
29,,205,2,CSEM,0.51,TRUE,USA
30,IE,690,8,CSEM,0.46,TRUE,USA
31,IE,931,8,BEMA,0.15,TRUE,USA
31,IE,621,4,CSEM,0.21,TRUE,USA
31,TRAD,345,1,BEMA,0.07,TRUE,USA
31,TRAD,165,1,CSEM,0.06,TRUE,USA
32,TRAD,337,3,CSEM,0.18,TRUE,USA
32,IE,74,2,CSEM,0.65,TRUE,USA
34,IE,152,1,CSEM,0.51,TRUE,USA
36,TRAD,136,2,CSEM,0.23,TRUE,USA
36,IE,100,7,CSEM,0.38,TRUE,USA
37,IE,58,1,CSEM,0.36,TRUE,USA
38,TRAD,5,1,CSEM,0.29,TRUE,USA
38,IE,25,2,CSEM,0.32,TRUE,USA
39,IE,55,1,CSEM,0.48,TRUE,USA
41,IE,599,21,BEMA,0.45,TRUE,USA
